,drug vector,condensed weight
0,0 0 0 0 0 0,0.0
1,0 0 0 0 0 1,0.256908257446
2,0 0 0 0 1 0,9.68303453989
3,0 0 0 0 1 1,10.2595389084
4,0 0 0 1 0 0,50.1446858051
5,0 0 0 1 0 1,50.7211901737
6,0 0 0 1 1 0,58.7054958217
7,0 0 0 1 1 1,64.6989024028
8,0 0 1 0 0 0,4.43572536004
9,0 0 1 0 0 1,4.83312157526
10,0 0 1 0 1 0,13.5702411803
11,0 0 1 0 1 1,14.3678321757
12,0 0 1 1 0 0,51.4734444177
13,0 0 1 1 0 1,52.271035413
14,0 0 1 1 1 0,59.6178279778
15,0 0 1 1 1 1,65.4130961643
16,0 1 0 0 0 0,9.92650968583
17,0 1 0 0 0 1,10.5030140544
18,0 1 0 0 1 0,18.3406749019
19,0 1 0 0 1 1,19.4046892753
20,0 1 0 1 0 0,53.1436279476
21,0 1 0 1 0 1,54.207642321
22,0 1 0 1 1 0,60.7120668521
23,0 1 0 1 1 1,66.2521059201
24,0 1 1 0 0 0,16.6290726116
25,0 1 1 0 0 1,17.4266636069
26,0 1 1 0 1 0,24.1180322731
27,0 1 1 0 1 1,25.4971650538
28,0 1 1 1 0 0,55.2100882667
29,0 1 1 1 0 1,56.5892210474
30,0 1 1 1 1 0,62.005563547
31,0 1 1 1 1 1,67.2260065039
32,1 0 0 0 0 0,16.6290726116
33,1 0 0 0 0 1,17.4266636069
34,1 0 0 0 1 0,24.1180322731
35,1 0 0 0 1 1,25.4971650538
36,1 0 0 1 0 0,55.2100882667
37,1 0 0 1 0 1,56.5892210474
38,1 0 0 1 1 0,62.005563547
39,1 0 0 1 1 1,67.2260065039
40,1 0 1 0 0 0,24.710768318
41,1 0 1 0 0 1,25.7747826914
42,1 0 1 0 1 0,31.0338458439
43,1 0 1 0 1 1,32.7801503389
44,1 0 1 1 0 0,57.731595238
45,1 0 1 1 0 1,59.477899733
46,1 0 1 1 1 0,63.5156691649
47,1 0 1 1 1 1,68.3448727493
48,1 1 0 0 0 0,16.6290726116
49,1 1 0 0 0 1,17.4266636069
50,1 1 0 0 1 0,24.1180322731
51,1 1 0 0 1 1,25.4971650538
52,1 1 0 1 0 0,55.2100882667
53,1 1 0 1 0 1,56.5892210474
54,1 1 0 1 1 0,62.005563547
55,1 1 0 1 1 1,67.2260065039
56,1 1 1 0 0 0,24.710768318
57,1 1 1 0 0 1,25.7747826914
58,1 1 1 0 1 0,31.0338458439
59,1 1 1 0 1 1,32.7801503389
60,1 1 1 1 0 0,57.731595238
61,1 1 1 1 0 1,59.477899733
62,1 1 1 1 1 0,63.5156691649
63,1 1 1 1 1 1,68.3448727493
